City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Hithadhoo,MV,81.99,few clouds,-0.6,73.0833,Scoop Guest House
25,San Andres,CO,80.71,few clouds,12.5847,-81.7006,Hotel Arena Blanca
26,Hilo,US,77.61,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
30,Avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
41,Kampot,KH,77.95,broken clouds,10.6167,104.1833,Two Moons Hotel
42,Carnarvon,AU,80.67,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
47,Limbang,MY,80.71,overcast clouds,4.75,115.0,Purnama Hotel
58,Puerto Ayora,EC,82.36,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
59,Cabedelo,BR,83.32,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
60,Lat Yao,TH,80.51,overcast clouds,15.751,99.7893,โรงแรมสอระ
64,Lorengau,PG,80.01,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
66,Rikitea,PF,78.46,clear sky,-23.1203,-134.9692,People ThankYou
67,Huarmey,PE,76.69,few clouds,-10.0681,-78.1522,Hotel Miramar
71,Koumac,NC,79.95,light rain,-20.5667,164.2833,Le Monitel
75,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
76,Aden,YE,77.72,few clouds,12.7794,45.0367,Sama Emirate Hotel
83,Lucea,JM,82.26,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
84,Kavaratti,IN,78.91,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
87,Butaritari,KI,82.51,few clouds,3.0707,172.7902,Isles Sunset Lodge
88,Butterworth,MY,80.01,few clouds,5.3991,100.3638,Cititel Penang
90,Mahebourg,MU,80.26,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
91,Vanimo,PG,76.87,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
94,Atuona,PF,78.19,light rain,-9.8,-139.0333,Villa Enata
99,Souillac,MU,80.37,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
103,Kudahuvadhoo,MV,81.77,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
108,Namatanai,PG,79.97,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
112,Itacoatiara,BR,81.57,broken clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
115,Cidreira,BR,78.39,overcast clouds,-30.1811,-50.2056,Hotel Castelo
116,Saint-Pierre,RE,80.24,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
119,Arawa,PG,79.45,overcast clouds,-6.2132,155.5367,Coastline Guest House
120,Arraial Do Cabo,BR,77.52,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
124,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Pirineos
126,Sola,VU,80.2,heavy intensity rain,-13.8833,167.55,Leumerus Bungalows
129,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
130,Neiafu,TO,81.28,light intensity shower rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
134,Ambon,ID,80.92,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
137,Lampang,TH,75.6,clear sky,18.3333,99.5,Mrs Luis Guest House
140,Santiago Del Estero,AR,79.92,broken clouds,-27.7951,-64.2615,Apartamentos Castelli 90
144,Vila Velha,BR,80.94,overcast clouds,-20.3297,-40.2925,Hotel Vitória Palace
150,Bambanglipuro,ID,76.84,moderate rain,-7.95,110.2833,Puri Brata
153,Marsh Harbour,BS,75.29,broken clouds,26.5412,-77.0636,Abaco Beach Resort
155,Havelock,US,79.05,overcast clouds,34.8791,-76.9013,Sherwood Motel
156,Port Blair,IN,78.04,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
159,Bayshore Gardens,US,85.21,clear sky,27.4253,-82.5904,Ramada by Wyndham Sarasota Waterfront
161,Belmonte,BR,82.9,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
163,Betioky,MG,77.79,clear sky,-23.7167,44.3833,Bungalows Acacias Hotel
168,Axim,GH,80.19,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
169,Katherine,AU,77.32,light rain,-14.4667,132.2667,Pine Tree Motel
170,Saint-Philippe,RE,80.15,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
174,Kilindoni,TZ,81.45,scattered clouds,-7.9139,39.6668,Bustani B&B
176,Mahanoro,MG,76.17,moderate rain,-19.9,48.8,BUNGALOW MAHAMANINA
178,Banda Aceh,ID,78.26,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
179,Grand Gaube,MU,80.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
180,Kununurra,AU,78.78,overcast clouds,-15.7667,128.7333,Hotel Kununurra
187,Bonthe,SL,79.93,broken clouds,7.5264,-12.505,Bonthe Holiday Village
188,Fare,PF,80.22,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
