City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Uchaly,RU,54.2996,59.4521,15.06,95,100,4.14,overcast clouds
1,Albany,US,42.6001,-73.9662,26.91,87,100,6.33,light snow
2,Port Alfred,ZA,-33.5906,26.891,68.16,80,100,7.52,light rain
3,Ushuaia,AR,-54.8,-68.3,62.91,41,33,2.42,scattered clouds
4,Cabo San Lucas,MX,22.8909,-109.9124,74.52,48,0,8.05,clear sky
5,Losone,CH,46.1687,8.7593,47.52,83,3,3.22,clear sky
6,Hithadhoo,MV,-0.6,73.0833,81.99,73,20,10.09,few clouds
7,Troitsko-Pechorsk,RU,62.7084,56.1964,-4.31,100,99,1.88,overcast clouds
8,Busselton,AU,-33.65,115.3333,67.08,59,0,5.19,clear sky
9,Punta Arenas,CL,-53.15,-70.9167,57.11,41,8,5.26,clear sky
10,Tasiilaq,GL,65.6145,-37.6368,21.36,64,100,39.95,overcast clouds
11,Baykit,RU,61.67,96.37,8.65,98,100,3.71,overcast clouds
12,Pecos,US,31.4229,-103.4932,31.05,55,0,5.75,clear sky
13,Jamestown,US,42.097,-79.2353,22.32,64,100,1.99,fog
14,Bluff,NZ,-46.6,168.3333,51.8,63,77,6.78,broken clouds
15,Nome,US,64.5011,-165.4064,7.16,63,100,7.38,overcast clouds
16,Dunavarsany,HU,47.2786,19.0662,38.48,72,34,2.95,scattered clouds
17,Mar Del Plata,AR,-38.0023,-57.5575,71.62,89,75,8.99,broken clouds
18,Hasaki,JP,35.7333,140.8333,27.0,44,97,21.79,overcast clouds
19,Thaton,MM,16.9206,97.3714,72.57,58,54,2.21,broken clouds
20,Cristalina,BR,-16.7686,-47.6136,74.14,74,100,3.24,overcast clouds
21,Tessalit,ML,20.1986,1.0114,67.5,10,0,10.94,clear sky
22,Vagur,FO,61.4732,-6.8119,38.17,56,100,32.75,overcast clouds
23,Half Moon Bay,US,37.4636,-122.4286,62.55,59,0,5.75,clear sky
24,Oga,IT,46.4631,10.347,32.68,77,7,2.06,clear sky
25,San Andres,CO,12.5847,-81.7006,80.71,70,12,13.24,few clouds
26,Hilo,US,19.7297,-155.09,77.61,71,100,5.75,overcast clouds
27,Walvis Bay,NA,-22.9575,14.5053,67.08,78,8,11.05,clear sky
28,Prince Rupert,CA,54.3161,-130.3201,44.69,93,100,4.61,overcast clouds
29,Udachnyy,RU,66.4167,112.4,-26.91,100,69,3.06,broken clouds
30,Avarua,CK,-21.2078,-159.775,80.65,78,40,11.5,scattered clouds
31,Alakurtti,RU,66.9672,30.3491,7.63,94,100,12.15,light snow
