City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Narsaq,GL,2022-02-02 22:13:16,60.9167,-46.05,3.42,66,56,7.92
1,Mataura,NZ,2022-02-02 22:15:19,-46.1927,168.8643,58.48,97,100,3.96
2,Ayr,GB,2022-02-02 22:17:47,55.4627,-4.6339,50.09,93,100,16.11
3,Jamestown,US,2022-02-02 22:17:20,42.097,-79.2353,39.09,63,100,4.0
4,Rikitea,PF,2022-02-02 22:15:29,-23.1203,-134.9692,78.46,73,100,7.78
5,Dikson,RU,2022-02-02 22:17:47,73.5069,80.5464,-7.8,98,94,9.89
6,Tuktoyaktuk,CA,2022-02-02 22:17:47,69.4541,-133.0374,-22.0,76,75,13.8
7,Avarua,CK,2022-02-02 22:16:34,-21.2078,-159.775,82.45,78,75,18.41
8,Zverinogolovskoye,RU,2022-02-02 22:17:48,54.4586,64.8542,16.66,96,74,8.55
9,Upernavik,GL,2022-02-02 22:17:48,72.7868,-56.1549,-5.13,69,100,7.65
10,Snihurivka,UA,2022-02-02 22:17:49,47.0758,32.8052,33.37,99,100,3.38
11,Busselton,AU,2022-02-02 22:15:12,-33.65,115.3333,67.05,48,100,14.52
12,Port Alfred,ZA,2022-02-02 22:17:49,-33.5906,26.891,73.98,95,100,7.94
13,Vaini,TO,2022-02-02 22:17:49,-21.2,-175.2,86.16,74,40,5.75
14,Mumford,GH,2022-02-02 22:17:50,5.2618,-0.759,80.2,85,1,8.95
15,Georgetown,MY,2022-02-02 22:14:43,5.4112,100.3354,80.53,85,20,2.3
16,Punta Arenas,CL,2022-02-02 22:17:21,-53.15,-70.9167,48.31,71,75,8.05
17,Mahebourg,MU,2022-02-02 22:17:50,-20.4081,57.7,79.25,94,75,31.07
18,Necochea,AR,2022-02-02 22:16:39,-38.5473,-58.7368,84.02,49,100,11.23
19,Tahta,EG,2022-02-02 22:17:51,26.7693,31.5021,56.88,36,81,2.26
20,Vostok,RU,2022-02-02 22:17:51,46.4856,135.8833,-6.92,99,100,3.58
21,Ushuaia,AR,2022-02-02 22:17:51,-54.8,-68.3,44.26,57,75,25.32
22,Hilo,US,2022-02-02 22:17:26,19.7297,-155.09,80.33,66,75,6.91
23,Yinchuan,CN,2022-02-02 22:17:52,38.4681,106.2731,19.26,24,31,7.87
24,Barrow,US,2022-02-02 22:16:52,71.2906,-156.7887,-20.18,69,0,3.44
25,Iwanai,JP,2022-02-02 22:17:52,42.9744,140.5089,24.15,89,100,12.68
26,Hermanus,ZA,2022-02-02 22:17:53,-34.4187,19.2345,65.89,87,5,11.12
27,Port Elizabeth,ZA,2022-02-02 22:17:53,-33.918,25.5701,71.1,100,75,8.05
28,Yellowknife,CA,2022-02-02 22:13:01,62.456,-114.3525,-22.72,96,94,3.83
29,Bluff,NZ,2022-02-02 22:17:37,-46.6,168.3333,58.8,66,100,16.69
30,Wuzhou,CN,2022-02-02 22:17:53,23.4833,111.3167,42.82,91,92,4.38
31,Victoria,HK,2022-02-02 22:17:44,22.2855,114.1577,59.95,93,100,7.0
32,Hobart,AU,2022-02-02 22:15:34,-42.8794,147.3294,60.06,62,75,1.01
33,Cassilandia,BR,2022-02-02 22:17:54,-19.1133,-51.7342,74.37,91,50,5.26
34,Castro,BR,2022-02-02 22:17:54,-24.7911,-50.0119,66.94,90,32,5.3
35,Shache,CN,2022-02-02 22:17:55,38.4167,77.2406,28.8,43,100,2.42
36,Saskylakh,RU,2022-02-02 22:17:55,71.9167,114.0833,-30.41,100,28,2.59
37,Lagoa,PT,2022-02-02 22:17:55,39.05,-27.9833,58.26,73,4,7.4
38,Abu Samrah,SY,2022-02-02 22:17:56,35.3029,37.1841,48.63,56,93,10.89
39,Vao,NC,2022-02-02 22:15:33,-22.6667,167.4833,77.74,77,97,14.54
40,Albany,US,2022-02-02 22:17:36,42.6001,-73.9662,42.67,76,82,7.52
41,Monticello,US,2022-02-02 22:17:56,45.3055,-93.7941,6.67,55,0,13.8
42,Lebu,CL,2022-02-02 22:17:57,-37.6167,-73.65,63.72,79,45,11.01
43,Butaritari,KI,2022-02-02 22:17:57,3.0707,172.7902,81.73,79,29,17.83
44,Yarada,IN,2022-02-02 22:17:57,17.65,83.2667,70.12,100,20,2.3
45,Kapaa,US,2022-02-02 22:17:57,22.0752,-159.319,80.58,66,0,1.99
46,Qaanaaq,GL,2022-02-02 22:15:15,77.484,-69.3632,-14.91,81,100,6.98
47,Ayagoz,KZ,2022-02-02 22:17:58,47.9714,80.4392,0.36,83,100,9.06
48,Mar Del Plata,AR,2022-02-02 22:16:40,-38.0023,-57.5575,81.09,61,0,6.91
49,Pangnirtung,CA,2022-02-02 22:18:58,66.1451,-65.7125,6.8,78,100,23.02
50,Celestun,MX,2022-02-02 22:18:59,20.8667,-90.4,81.5,64,0,10.58
